day,clue,answer,length,date
5,"Baseball great who was the subject of the 2006 best seller ""Game of Shadows""",BONDS,5,2019-06-01
5,"Authorize, as a digital contract",ESIGN,5,2019-06-01
5,Takes heat from,UNARMS,6,2019-06-01
5,Political figure who became a CNN commentator in 2015,AXELROD,7,2019-06-01
5,Won back,RETOOK,6,2019-06-01
5,Advance showing of a film,SCREENER,8,2019-06-01
5,Annoying bedmate,BLANKETHOG,10,2019-06-01
5,"""___ doomed!""",WERE,4,2019-06-01
5,Subject of an overnight lab study,SLEEPAPNEA,10,2019-06-01
5,D.O.T. branch,FAA,3,2019-06-01
5,Right now,THISSECOND,10,2019-06-01
5,Winner of the lowest-scoring Super Bowl in N.F.L. history (16 total points),PATRIOT,7,2019-06-01
5,Overindulge,GORGE,5,2019-06-01
5,:(,SADFACE,7,2019-06-01
5,Pool party?,SWIMMER,7,2019-06-01
5,Word before bait or buzz,OSCAR,5,2019-06-01
5,Certain grain source,RYESEED,7,2019-06-01
5,Hot wheels?,STOLENCARS,10,2019-06-01
5,"Boston skyscraper, with ""the""",PRU,3,2019-06-01
5,They're spotted at fire stations,DALMATIANS,10,2019-06-01
5,"""___ so"" (""Nuh-uh"")",AINT,4,2019-06-01
5,Classic baby food,MASHEDPEAS,10,2019-06-01
5,Like Napoleon's defeat at Waterloo,DECISIVE,8,2019-06-01
5,Many a yak herder,NEPALI,6,2019-06-01
5,Gymnast Biles and others,SIMONES,7,2019-06-01
5,"""License to Kill"" star",DALTON,6,2019-06-01
5,Big name in hosiery,LEGGS,5,2019-06-01
5,Longtime film/theater critic Jeffrey,LYONS,5,2019-06-01
5,"Start of many a morning commute, informally",BURB,4,2019-06-01
5,Some first-years after undergrad,ONELS,5,2019-06-01
5,"___ astrology, study with horoscopes",NATAL,5,2019-06-01
5,Means of surveillance,DRONE,5,2019-06-01
5,Go to pot?,SMOKE,5,2019-06-01
5,Potential recidivists,EXCONS,6,2019-06-01
5,Classic blazer fabrics,SERGES,6,2019-06-01
5,Ending with quart- or quint-,ILE,3,2019-06-01
5,Developed,GREW,4,2019-06-01
5,"""I'm fine, but thanks""",NONEFORME,9,2019-06-01
5,Nonbeliever,SKEPTIC,7,2019-06-01
5,Part of a fireplace,ASHPIT,6,2019-06-01
5,Disturbed,DERANGED,8,2019-06-01
5,Literary anthology,READER,6,2019-06-01
5,Squaw Valley backdrop,TAHOE,5,2019-06-01
5,Backing,AEGIS,5,2019-06-01
5,Wasted word to a housecat,COME,4,2019-06-01
5,"Turnovers, e.g.",PASTRIES,8,2019-06-01
5,Group working on P.S.A. campaigns,ADCOUNCIL,9,2019-06-01
5,Big name in cookware,TFAL,4,2019-06-01
5,"Stood on the hind legs, with ""up""",RARED,5,2019-06-01
5,Product made with steel wool,SOSPAD,6,2019-06-01
5,Dark-skinned grape used in winemaking,SYRAH,5,2019-06-01
5,Locale of London's Leicester Square,WESTEND,7,2019-06-01
5,Abu Simbel statue honoree,RAMSES,6,2019-06-01
5,Activity for new parents,NAMING,6,2019-06-01
5,Percussionist's wooden sticks,CLAVES,6,2019-06-01
5,As good as it gets,IDEAL,5,2019-06-01
